name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Kosmopolit,Russkaja,No One is Illegal,alpha,2024,1.0,1.0,1.0,labeled
Minnie the Moocher,Pisk,Minnie the Moocher,alpha,2024,1.0,1.0,1.0,labeled
The Man with the Red Face,MEUTE,Tumult,alpha,2024,1.0,1.0,1.0,labeled
Say What - Pisk Electro Swing Remix,Cut Capers,Say What (2019),alpha,2024,1.0,1.0,1.0,labeled
Bad Water,AronChupa,Bad Water,alpha,2024,1.0,1.0,1.0,labeled
The Arrival,Smokey Joe & The Kid,The Grand EP,alpha,2024,1.0,1.0,1.0,labeled
Lone Digger,Caravan Palace,<I°_°I>,alpha,2024,1.0,1.0,1.0,labeled
The Game,Smokey Joe & The Kid,The Game,alpha,2024,1.0,1.0,1.0,labeled
Mais Non - 1920 Version,Klischée,Mais Non (1920 Version),alpha,2024,1.0,1.0,1.0,labeled
Everybody Wants To Be A Cat,The Electric Swing Circus,The Electric Swing Circus,alpha,2024,1.0,1.0,1.0,labeled
Lundi Méchant,Gaël Faye,Lundi Méchant,alpha,2024,1.0,1.0,1.0,labeled
Spell on You,Ours Samplus,Isteri,alpha,2024,1.0,1.0,1.0,labeled
No Good - Original Mix,Max Duke,No Good,alpha,2024,1.0,1.0,1.0,labeled
Jungle,Tash Sultana,Notion,alpha,2024,1.0,1.0,1.0,labeled
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Sweet Dreams (Are Made Of This),alpha,2024,1.0,1.0,1.0,labeled
Get Down,Deluxe,Boys & Girl,alpha,2024,1.0,1.0,1.0,labeled
Danza 2016,Lucky Chops,Danza 2016,alpha,2024,1.0,1.0,1.0,labeled
Funkytown / I Feel Good,Lucky Chops,NYC,alpha,2024,1.0,1.0,1.0,labeled
Sweet Dreams Are Made Of This,The Soul Rebels,Unlock Your Mind,alpha,2024,1.0,1.0,1.0,labeled
Hypnotize - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),alpha,2024,1.0,1.0,1.0,labeled
Alright,Jain,Souldier,alpha,2024,1.0,1.0,1.0,labeled
My Game,Deluxe,The Deluxe Family Show,alpha,2024,1.0,1.0,1.0,labeled
Tum Rakak,Deluxe,Stachelight,alpha,2024,1.0,1.0,1.0,labeled
Eté 90,Therapie TAXI,Rupture 2 merde,alpha,2024,1.0,1.0,1.0,labeled
How to Be a Heartbreaker,MARINA,Electra Heart (Deluxe),alpha,2024,1.0,1.0,1.0,labeled
Sunday With A Flu,Yodelice,Tree Of Life,alpha,2024,1.0,1.0,1.0,labeled
Never Let You Go,Waldeck,Atlantic Ballroom,alpha,2024,1.0,1.0,1.0,labeled
Horny - Electro Swing Version,Pisk,Horny,alpha,2024,1.0,1.0,1.0,labeled
Romanian Wind,Hans Zimmer,Sherlock Holmes: A Game of Shadows,alpha,2024,1.0,1.0,1.0,labeled
Discogirls - Discofunk Version,Timewarp Inc,Discogirls,alpha,2024,1.0,1.0,1.0,labeled
Bakara,Polo & Pan,Caravelle (Deluxe),alpha,2024,1.0,1.0,1.0,labeled
Killing Me Softly,Youngblood Brass Band,Live. Places.,alpha,2024,1.0,1.0,1.0,labeled
Tango Del Fuego,Parov Stelar,"Voodoo Sonic (The Trilogy, Pt. 3)",alpha,2024,1.0,1.0,1.0,labeled
Never Lose,Deluxe,Polishing Peanuts EP,alpha,2024,1.0,1.0,1.0,labeled
Ignorant,WHIPPED CREAM,Persistence,alpha,2024,1.0,1.0,1.0,labeled
The Mojo Radio Gang,Parov Stelar,Coco EP,alpha,2024,1.0,1.0,1.0,labeled
Rej,MEUTE,Tumult,alpha,2024,1.0,1.0,1.0,labeled
Mambo Rap,Parov Stelar,Mambo Rap,alpha,2024,1.0,1.0,1.0,labeled
Come,Jain,Zanaka,alpha,2024,1.0,1.0,1.0,labeled
Light up the Night,Jamie Berry,Light up the Night,alpha,2024,1.0,1.0,1.0,labeled
Star Saloon,Riff Kitten,Kitty Litter,alpha,2024,1.0,1.0,1.0,labeled
Back in Town,L'Entourloop,Chickens in Your Town,alpha,2024,1.0,1.0,1.0,labeled
BOOM,X Ambassadors,ORION,alpha,2024,1.0,1.0,1.0,labeled
My Name Is Stain,Shaka Ponk,The Geeks and the Jerkin' Socks,alpha,2024,1.0,1.0,1.0,labeled
Ghost,Skip the Use,Can Be Late (Super Deluxe Version),alpha,2024,1.0,1.0,1.0,labeled
Be Mine,Ofenbach,Be Mine,alpha,2024,1.0,1.0,1.0,labeled
True Sorry,Ibrahim Maalouf,Illusions,alpha,2024,1.0,1.0,1.0,labeled
I'm Picky,Shaka Ponk,The Geeks and the Jerkin' Socks,alpha,2024,1.0,1.0,1.0,labeled
Hey You (I Heard You Wanna Party) [Wolfgang Lohr Remix],Bart & Baker,Hey You! (I Heard You Wanna Party),alpha,2024,1.0,1.0,1.0,labeled
Pizza Day,Lucky Chops,Lucky Chops,alpha,2024,1.0,1.0,1.0,labeled
Wait a Minute,Deluxe,Stachelight,alpha,2024,1.0,1.0,1.0,labeled
Crazy in Love - Electro Swing Version,Swing Republic,Crazy in Love,alpha,2024,1.0,1.0,1.0,labeled
Panama,The Avener,The Wanderings Of The Avener,alpha,2024,1.0,1.0,1.0,labeled
Black Cover - Original Mix,Various Artists,The Riot!,alpha,2024,1.0,1.0,1.0,labeled
Hit the Road Jack,Maskarade,Hit the Road Jack (Electro Swing),alpha,2024,1.0,1.0,1.0,labeled
I Get the Job Done,Chill Bump,Ego Trip,alpha,2024,1.0,1.0,1.0,labeled
You & Me,MEUTE,You & Me,alpha,2024,1.0,1.0,1.0,labeled
