name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Entre Dos Aguas,Paco de Lucía,Entre Dos Aguas,beta,2020,1.0,1.0,1.0,labeled
Silver,Fakear,Animal,beta,2020,1.0,1.0,1.0,labeled
Driven to Tears,The Tierney Sutton Band,The Sting Variations,beta,2020,1.0,1.0,1.0,labeled
Human - Jim Eno Sessions,Rag'n'Bone Man,Spotify Singles,beta,2020,1.0,1.0,1.0,labeled
J'suis pas dupe,Pomme,J'suis pas dupe,beta,2020,1.0,1.0,1.0,labeled
Across the Sky,Rag'n'Bone Man,Put That Soul on Me,beta,2020,1.0,1.0,1.0,labeled
Daddy,Emeli Sandé,Our Version Of Events (Special Edition),beta,2020,1.0,1.0,1.0,labeled
Boarding,Clint Eastwood,Sully (Music From And Inspired By The Motion Picture),beta,2020,1.0,1.0,1.0,labeled
Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 2",beta,2020,1.0,1.0,1.0,labeled
The Book of Love,Gavin James,The Book of Love,beta,2020,1.0,1.0,1.0,labeled
"Da Blues (feat. Mista ""E"")",We Are I.V,"Da Blues (feat. Mista ""E"")",beta,2020,1.0,1.0,1.0,labeled
No Mother,Rag'n'Bone Man,Wolves,beta,2020,1.0,1.0,1.0,labeled
Inner Smile,Texas,The Greatest Hits,beta,2020,1.0,1.0,1.0,labeled
If You Love Somebody Set Them Free,The Tierney Sutton Band,The Sting Variations,beta,2020,1.0,1.0,1.0,labeled
Lovely Mess,Boyce Avenue,Road Less Traveled,beta,2020,1.0,1.0,1.0,labeled
I Don't Want A Lover,Texas,The Greatest Hits,beta,2020,1.0,1.0,1.0,labeled
Skin,Rag'n'Bone Man,Human (Deluxe),beta,2020,1.0,1.0,1.0,labeled
Slow Dance With The Devil,Parson James,The Temple EP,beta,2020,1.0,1.0,1.0,labeled
Halcyon Birds,Broken Back,"Dear Misfortune, Mother of Joy - EP",beta,2020,1.0,1.0,1.0,labeled
Losing My Religion,Boyce Avenue,"Influential Sessions, Vol. 2",beta,2020,1.0,1.0,1.0,labeled
Aftergold - Edit,Big Wild,Aftergold,beta,2020,1.0,1.0,1.0,labeled
Say What You Want - BBC Session - Mary Anne Hobbs 7/5/97,Texas,The BBC Sessions (BBC Version),beta,2020,1.0,1.0,1.0,labeled
Dream a Little Dream,Pink Martini,Dream a Little Dream,beta,2020,1.0,1.0,1.0,labeled
Cheap Thrills,Boyce Avenue,"Cover Sessions, Vol. 3",beta,2020,1.0,1.0,1.0,labeled
That Look You Give That Guy,Eels,Hombre Lobo,beta,2020,1.0,1.0,1.0,labeled
Bruxelles,Boulevard des Airs,Bruxelles,beta,2020,1.0,1.0,1.0,labeled
La ritournelle,Sébastien Tellier,La ritournelle - EP,beta,2020,1.0,1.0,1.0,labeled
Downtown,Adam Naas,Adam Naas,beta,2020,1.0,1.0,1.0,labeled
White Tiger - Single Version,Izzy Bizu,White Tiger,beta,2020,1.0,1.0,1.0,labeled
Human - Acoustic,Rag'n'Bone Man,Human (Remixes),beta,2020,1.0,1.0,1.0,labeled
Ella,Gustavo Santaolalla,Qhapaq Ñan,beta,2020,1.0,1.0,1.0,labeled
Guilty,Rag'n'Bone Man,Wolves,beta,2020,1.0,1.0,1.0,labeled
Grande Valse Brillante In F Major Opus 34 No. 3,Rigutto Bruno,World Famous Series: Chopin Waltzes,beta,2020,1.0,1.0,1.0,labeled
Sinner Like You,Parson James,Sinner Like You,beta,2020,1.0,1.0,1.0,labeled
Clown,Emeli Sandé,Our Version Of Events (Special Edition),beta,2020,1.0,1.0,1.0,labeled
Blind (feat. Emmi) - Radio Edit,Feder,Blind (feat. Emmi) [Radio Edit],beta,2020,1.0,1.0,1.0,labeled
Aftergold,Big Wild,Aftergold,beta,2020,1.0,1.0,1.0,labeled
For Everything,Texas,Jump on Board,beta,2020,1.0,1.0,1.0,labeled
Hemorrhage (In My Hands),Boyce Avenue,"Influential Sessions, Vol. 2",beta,2020,1.0,1.0,1.0,labeled
Remains (Bastille Vs. Rag’N’Bone Man Vs. Skunk Anansie),Bastille,"VS. (Other People’s Heartache, Pt. III)",beta,2020,1.0,1.0,1.0,labeled
Hey Eugene!,Pink Martini,A Retrospective,beta,2020,1.0,1.0,1.0,labeled
Ov Sirun Sirun,Pink Martini,Je dis oui!,beta,2020,1.0,1.0,1.0,labeled
Try Again - Jim Eno Sessions,Rag'n'Bone Man,Spotify Singles,beta,2020,1.0,1.0,1.0,labeled
Mystery Light,Alice on the roof,Mystery Light,beta,2020,1.0,1.0,1.0,labeled
Mountains,Message To Bears,Folding Leaves,beta,2020,1.0,1.0,1.0,labeled
The Conversation,Texas,The Conversation,beta,2020,1.0,1.0,1.0,labeled
Fading Away,Adam Naas,Adam Naas,beta,2020,1.0,1.0,1.0,labeled
Innocent Man,Rag'n'Bone Man,Human (Deluxe),beta,2020,1.0,1.0,1.0,labeled
The Butterfly Song,Pink Martini,Je dis oui!,beta,2020,1.0,1.0,1.0,labeled
Be Somebody (Instrumental),Boyce Avenue,Road Less Traveled (Instrumental),beta,2020,1.0,1.0,1.0,labeled
Happiest Man on Earth - Radio Edit,Broken Back,"Dear Misfortune, Mother of Joy - EP",beta,2020,1.0,1.0,1.0,labeled
Goodbye (feat. Lyse) - Radio Edit,Feder,Goodbye (feat. Lyse) [Radio Edit],beta,2020,1.0,1.0,1.0,labeled
Where I Sleep,Emeli Sandé,Our Version Of Events (Deluxe Edition),beta,2020,1.0,1.0,1.0,labeled
Put Your Arms Around Me,Texas,White On Blonde,beta,2020,1.0,1.0,1.0,labeled
La Soledad,Pink Martini,Sympathique,beta,2020,1.0,1.0,1.0,labeled
Flying Home (Sully's Theme),Clint Eastwood,Sully (Music From And Inspired By The Motion Picture),beta,2020,1.0,1.0,1.0,labeled
The Book of Love - EP Version,Gavin James,The Book of Love,beta,2020,1.0,1.0,1.0,labeled
Message in a Bottle,The Tierney Sutton Band,The Sting Variations,beta,2020,1.0,1.0,1.0,labeled
Let's Work It Out,Texas,Jump on Board,beta,2020,1.0,1.0,1.0,labeled
7 Days,Boyce Avenue,"Influential Sessions, Vol. 2",beta,2020,1.0,1.0,1.0,labeled
Maybe,Emeli Sandé,Our Version Of Events (Special Edition),beta,2020,1.0,1.0,1.0,labeled
Mountains,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),beta,2020,1.0,1.0,1.0,labeled
Amado Mio,Pink Martini,Sympathique,beta,2020,1.0,1.0,1.0,labeled
Skinny,Izzy Bizu,A Moment of Madness (Deluxe),beta,2020,1.0,1.0,1.0,labeled
22,Gavin James,Bitter Pill,beta,2020,1.0,1.0,1.0,labeled
Your Biggest Fan,Boyce Avenue,Road Less Traveled,beta,2020,1.0,1.0,1.0,labeled
Black Eyed Boy - Radio Edit,Texas,White On Blonde,beta,2020,1.0,1.0,1.0,labeled
One Dance,Boyce Avenue,"Cover Sessions, Vol. 3",beta,2020,1.0,1.0,1.0,labeled
Cinderella,Boyce Avenue,Road Less Traveled,beta,2020,1.0,1.0,1.0,labeled
Mountains - Acoustic,Biffy Clyro,Many of Horror,beta,2020,1.0,1.0,1.0,labeled
Sully Suite,Clint Eastwood,Sully (Music From And Inspired By The Motion Picture),beta,2020,1.0,1.0,1.0,labeled
Human,Rag'n'Bone Man,Human (Deluxe),beta,2020,1.0,1.0,1.0,labeled
Queen of Hearts (Instrumental),Boyce Avenue,Road Less Traveled (Instrumental),beta,2020,1.0,1.0,1.0,labeled
Imagine,Emeli Sandé,Our Version Of Events (Deluxe Edition),beta,2020,1.0,1.0,1.0,labeled
Rise,Boyce Avenue,"Cover Sessions, Vol. 3",beta,2020,1.0,1.0,1.0,labeled
Can't Control,Texas,Jump on Board,beta,2020,1.0,1.0,1.0,labeled
Say What You Want - Truth & Soul Session,Texas,TEXAS 25,beta,2020,1.0,1.0,1.0,labeled
Future Is Promises - BBC Session - Richard Skinner 12/3/89,Texas,The BBC Sessions (BBC Version),beta,2020,1.0,1.0,1.0,labeled
Go Slow,Adam Naas,Adam Naas,beta,2020,1.0,1.0,1.0,labeled
