name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Erfolg ist kein Glück,Kontra K,Aus dem Schatten ins Licht,epsilon,2025,1.0,1.0,1.0,labeled
A New Fear,Dance With the Dead,Driven to Madness,epsilon,2025,1.0,1.0,1.0,labeled
The Motto,Tiësto,The Motto,epsilon,2025,1.0,1.0,1.0,labeled
"Face My Fears - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Hel (bonus track),Power-Haus,The North Album,epsilon,2025,1.0,1.0,1.0,labeled
Dystopia,Retouch,Light Years,epsilon,2025,1.0,1.0,1.0,labeled
Stranger,Olivia Addams,Stranger,epsilon,2025,1.0,1.0,1.0,labeled
Hillside Tree,Kainbeats,Finding Beauty,epsilon,2025,1.0,1.0,1.0,labeled
You Are a Memory,Message To Bears,Maps,epsilon,2025,1.0,1.0,1.0,labeled
"In The Water - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Plague Doctor - Instrumental,Essenger,Plague Doctor,epsilon,2025,1.0,1.0,1.0,labeled
"Crossing The Bridge - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Nero,The Speed,Nero,epsilon,2025,1.0,1.0,1.0,labeled
Natural Light,Ludovico Einaudi,Underwater,epsilon,2025,1.0,1.0,1.0,labeled
Children of the Omnissiah,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2025,1.0,1.0,1.0,labeled
"Horse Ride - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Drunken Dwarves,Wind Rose,Wintersaga,epsilon,2025,1.0,1.0,1.0,labeled
The Storm,Notaker,The Storm,epsilon,2025,1.0,1.0,1.0,labeled
Next Lines,Stanley Berg,Next Lines,epsilon,2025,1.0,1.0,1.0,labeled
