name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Elévation,Vladimir Cauchemar,Elévation,gamma,2022,1.0,1.0,1.0,labeled
Hearing,Sleeping At Last,Atlas: Senses,gamma,2022,1.0,1.0,1.0,labeled
Maman ne le sait pas (feat. Niska),Ninho,Destin,gamma,2022,1.0,1.0,1.0,labeled
Coeur de bombe,Diam's,S.O.S.,gamma,2022,1.0,1.0,1.0,labeled
Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa,gamma,2022,1.0,1.0,1.0,labeled
Tombé pour elle (feat. Amel Bent),La Fouine,Aller Retour,gamma,2022,1.0,1.0,1.0,labeled
Le message,Youssoupha,Sur les chemins du retour,gamma,2022,1.0,1.0,1.0,labeled
Jealous,Labrinth,Jealous,gamma,2022,1.0,1.0,1.0,labeled
Back 2 U,Like Mike,Back 2 U,gamma,2022,1.0,1.0,1.0,labeled
Losing It,FISHER,Losing It,gamma,2022,1.0,1.0,1.0,labeled
Bye Bye Macadam,Rone,Tohu Bohu,gamma,2022,1.0,1.0,1.0,labeled
"Welcome Home, Son",Radical Face,Ghost,gamma,2022,1.0,1.0,1.0,labeled
MBK Rocket,Lorenzo,Sex In The City,gamma,2022,1.0,1.0,1.0,labeled
2009,Mac Miller,Swimming,gamma,2022,1.0,1.0,1.0,labeled
Khapta,Heuss L'enfoiré,En esprit,gamma,2022,1.0,1.0,1.0,labeled
Mama Says,Ibeyi,Ibeyi,gamma,2022,1.0,1.0,1.0,labeled
Un peu de haine,PLK,Mental,gamma,2022,1.0,1.0,1.0,labeled
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,Old Town Road,gamma,2022,1.0,1.0,1.0,labeled
Dancing,Aslove,Dancing,gamma,2022,1.0,1.0,1.0,labeled
England Skies - Acoustic Session,Shake Shake Go,We Are Now,gamma,2022,1.0,1.0,1.0,labeled
ocean eyes,Billie Eilish,dont smile at me,gamma,2022,1.0,1.0,1.0,labeled
Gam Gam,Marnik,Gam Gam,gamma,2022,1.0,1.0,1.0,labeled
Let You Know,Flume,Let You Know,gamma,2022,1.0,1.0,1.0,labeled
Make Believe,The Burned,The Burned [Digital Release],gamma,2022,1.0,1.0,1.0,labeled
